Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area
Uttarakhand, 29-02-2020, Monthly, 4.85, 2057523.00, 37.16,Rural
Uttarakhand, 30-04-2020, Monthly, 3.66, 1972074.00, 35.04,Rural
Uttarakhand, 31-05-2020, Monthly, 3.57, 1915482.00, 33.94,Rural
Uttarakhand, 30-06-2020, Monthly, 10.71, 1675441.00, 32.00,Rural
West Bengal, 31-05-2019, Monthly, 6.02, 23452875.00, 46.41,Rural
West Bengal, 30-06-2019, Monthly, 5.85, 25543465.00, 50.36,Rural
West Bengal, 31-07-2019, Monthly, 5.62, 24857807.00, 48.78,Rural
West Bengal, 31-08-2019, Monthly, 5.58, 24924827.00, 48.79,Rural
West Bengal, 30-09-2019, Monthly, 5.26, 25610773.00, 49.87,Rural
West Bengal, 31-10-2019, Monthly, 6.78, 24353018.00, 48.09,Rural
West Bengal, 30-11-2019, Monthly, 5.83, 25630359.00, 50.00,Rural
West Bengal, 31-12-2019, Monthly, 5.79, 24906239.00, 48.47,Rural
West Bengal, 31-01-2020, Monthly, 6.79, 24612171.00, 48.30,Rural
West Bengal, 29-02-2020, Monthly, 3.78, 26093009.00, 49.51,Rural
West Bengal, 31-03-2020, Monthly, 7.02, 25097812.00, 49.18,Rural
West Bengal, 30-04-2020, Monthly, 18.32, 17639370.00, 39.27,Rural
West Bengal, 31-05-2020, Monthly, 18.43, 19115772.00, 42.53,Rural
West Bengal, 30-06-2020, Monthly, 4.94, 21225887.00, 40.44,Rural
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Andhra Pradesh, 31-05-2019,Monthly, 6.09, 4788661.00, 37.45,Urban
Andhra Pradesh, 30-06-2019,Monthly, 3.80, 4824630.00, 36.76,Urban
Andhra Pradesh, 31-07-2019,Monthly, 5.64, 4657443.00, 36.10,Urban
Andhra Pradesh, 31-08-2019,Monthly, 4.61, 4743179.00, 36.29,Urban
Andhra Pradesh, 30-09-2019,Monthly, 6.01, 4733996.00, 36.69,Urban
Andhra Pradesh, 31-10-2019,Monthly, 4.70, 4774377.00, 36.41,Urban
Andhra Pradesh, 30-11-2019,Monthly, 7.54, 4668772.00, 36.62,Urban
Andhra Pradesh, 31-12-2019,Monthly, 7.88, 4913963.00, 38.61,Urban
Andhra Pradesh, 31-01-2020,Monthly, 7.11, 4618860.00, 35.91,Urban
Andhra Pradesh, 29-02-2020,Monthly, 5.66, 4822035.00, 36.84,Urban
Andhra Pradesh, 31-03-2020,Monthly, 9.88, 4521537.00, 36.08,Urban
Andhra Pradesh, 30-04-2020,Monthly, 32.30, 2544084.00, 26.97,Urban
Andhra Pradesh, 31-05-2020,Monthly, 24.91, 3428356.00, 32.69,Urban
Andhra Pradesh, 30-06-2020,Monthly, 5.86, 4954389.00, 37.61,Urban
Assam, 31-05-2019,Monthly, 7.87, 1671707.00, 44.92,Urban
Assam, 30-06-2019,Monthly, 9.89, 1647342.00, 45.17,Urban
Assam, 31-07-2019,Monthly, 3.21, 1739838.00, 44.32,Urban
Assam, 31-08-2019,Monthly, 10.39, 1595582.00, 43.81,Urban
Assam, 30-09-2019,Monthly, 9.26, 1576480.00, 42.66,Urban
Assam, 31-10-2019,Monthly, 11.17, 1595176.00, 44.01,Urban
Assam, 30-11-2019,Monthly, 6.31, 1708045.00, 44.59,Urban
Assam, 31-12-2019,Monthly, 5.02, 1722303.00, 44.26,Urban
Assam, 31-01-2020,Monthly, 7.24, 1630908.00, 42.82,Urban
Assam, 29-02-2020,Monthly, 9.98, 1625454.00, 43.90,Urban
Assam, 31-03-2020,Monthly, 10.34, 1664145.00, 45.03,Urban
Assam, 30-04-2020,Monthly, 8.37, 1454956.00, 38.45,Urban
Assam, 31-05-2020,Monthly, 10.77, 1441722.00, 39.04,Urban
Assam, 30-06-2020,Monthly, 3.42, 1551007.00, 38.73,Urban
Bihar, 31-05-2019,Monthly, 19.90, 3029344.00, 39.80,Urban
Bihar, 30-06-2019,Monthly, 13.29, 3248864.00, 39.35,Urban
Bihar, 31-07-2019,Monthly, 16.41, 3059744.00, 38.36,Urban
Bihar, 31-08-2019,Monthly, 17.66, 2994763.00, 38.03,Urban
Bihar, 30-09-2019,Monthly, 20.46, 2992082.00, 39.25,Urban
Bihar, 31-10-2019,Monthly, 14.06, 3173429.00, 38.45,Urban
Bihar, 30-11-2019,Monthly, 17.62, 3081077.00, 38.86,Urban
Bihar, 31-12-2019,Monthly, 14.91, 2977857.00, 36.29,Urban
Bihar, 31-01-2020,Monthly, 20.69, 2988665.00, 38.99,Urban
Bihar, 29-02-2020,Monthly, 15.11, 3113464.00, 37.87,Urban
Bihar, 31-03-2020,Monthly, 15.73, 3049637.00, 37.29,Urban
Bihar, 30-04-2020,Monthly, 58.77, 1400962.00, 34.94,Urban
Bihar, 31-05-2020,Monthly, 37.87, 2207026.00, 36.45,Urban
Bihar, 30-06-2020,Monthly, 12.45, 3124663.00, 36.54,Urban
Chandigarh, 31-05-2019,Monthly, 18.35, 348042.00, 44.89,Urban
Chandigarh, 30-06-2019,Monthly, 12.40, 337145.00, 40.44,Urban
Chandigarh, 31-07-2019,Monthly, 21.80, 294379.00, 39.47,Urban
Chandigarh, 31-08-2019,Monthly, 9.52, 328282.00, 37.95,Urban
Chandigarh, 30-09-2019,Monthly, 20.14, 327239.00, 42.77,Urban
Chandigarh, 31-10-2019,Monthly, 13.99, 330856.00, 40.06,Urban
Chandigarh, 30-11-2019,Monthly, 22.05, 289593.00, 38.60,Urban
Chandigarh, 31-12-2019,Monthly, 8.33, 311146.00, 35.19,Urban
Chandigarh, 31-01-2020,Monthly, 20.00, 332062.00, 42.94,Urban
Chandigarh, 29-02-2020,Monthly, 16.67, 316887.00, 39.25,Urban
Chandigarh, 31-03-2020,Monthly, 21.43, 279839.00, 36.68,Urban
Chandigarh, 30-06-2020,Monthly, 7.22, 306505.00, 33.80,Urban
Chhattisgarh, 31-05-2019,Monthly, 9.77, 2223129.00, 45.61,Urban
Chhattisgarh, 30-06-2019,Monthly, 11.77, 2192020.00, 45.88,Urban
Chhattisgarh, 31-07-2019,Monthly, 8.17, 2285436.00, 45.85,Urban
Chhattisgarh, 31-08-2019,Monthly, 6.29, 2392400.00, 46.91,Urban
Chhattisgarh, 30-09-2019,Monthly, 9.46, 2311507.00, 46.80,Urban
Chhattisgarh, 31-10-2019,Monthly, 10.27, 2297096.00, 46.82,Urban
Chhattisgarh, 30-11-2019,Monthly, 8.32, 2341284.00, 46.59,Urban
Chhattisgarh, 31-12-2019,Monthly, 3.57, 2415436.00, 45.59,Urban
Chhattisgarh, 31-01-2020,Monthly, 9.01, 2315972.00, 46.21,Urban
Chhattisgarh, 29-02-2020,Monthly, 9.79, 2347941.00, 47.14,Urban
Chhattisgarh, 31-03-2020,Monthly, 8.21, 2407509.00, 47.39,Urban
Chhattisgarh, 30-04-2020,Monthly, 20.13, 1066126.00, 24.06,Urban
Chhattisgarh, 31-05-2020,Monthly, 24.10, 1276291.00, 30.24,Urban
Chhattisgarh, 30-06-2020,Monthly, 27.07, 1602231.00, 39.41,Urban
Delhi, 31-05-2019,Monthly, 12.31, 5756475.00, 44.17,Urban
Delhi, 30-06-2019,Monthly, 12.76, 5550172.00, 42.71,Urban
Delhi, 31-07-2019,Monthly, 14.68, 5393091.00, 42.34,Urban
Delhi, 31-08-2019,Monthly, 13.52, 5552510.00, 42.90,Urban
Delhi, 30-09-2019,Monthly, 20.59, 5642253.00, 47.36,Urban
Delhi, 31-10-2019,Monthly, 12.41, 6030363.00, 45.78,Urban
Delhi, 30-11-2019,Monthly, 16.11, 5439600.00, 43.02,Urban
Delhi, 31-12-2019,Monthly, 11.07, 5718337.00, 42.56,Urban
Delhi, 31-01-2020,Monthly, 22.45, 5647493.00, 48.09,Urban
Delhi, 29-02-2020,Monthly, 14.86, 5708807.00, 44.18,Urban
Delhi, 31-03-2020,Monthly, 17.09, 5401392.00, 42.82,Urban
Delhi, 30-04-2020,Monthly, 16.51, 3003787.00, 23.59,Urban
Delhi, 31-05-2020,Monthly, 45.78, 2343783.00, 28.28,Urban
Delhi, 30-06-2020,Monthly, 18.11, 4306807.00, 34.32,Urban
Goa, 31-05-2019,Monthly, 2.75, 264855.00, 34.17,Urban
Goa, 30-06-2019,Monthly, 13.33, 304015.00, 43.96,Urban
Goa, 31-07-2019,Monthly, 12.28, 280367.00, 40.00,Urban
Goa, 31-08-2019,Monthly, 4.90, 243277.00, 31.97,Urban
Goa, 30-09-2019,Monthly, 3.16, 309643.00, 39.92,Urban
Goa, 31-10-2019,Monthly, 12.31, 290264.00, 41.27,Urban
Goa, 30-11-2019,Monthly, 25.20, 271612.00, 45.22,Urban
Goa, 31-12-2019,Monthly, 16.22, 288154.00, 42.77,Urban
Goa, 31-01-2020,Monthly, 10.92, 257814.00, 35.95,Urban
Goa, 29-02-2020,Monthly, 4.31, 306396.00, 39.73,Urban
Goa, 31-03-2020,Monthly, 4.76, 277093.00, 36.05,Urban
Goa, 30-04-2020,Monthly, 11.76, 318957.00, 44.74,Urban
Gujarat, 31-05-2019,Monthly, 4.09, 9686558.00, 41.67,Urban
Gujarat, 30-06-2019,Monthly, 6.31, 10144965.00, 44.57,Urban
Gujarat, 31-07-2019,Monthly, 5.15, 9828023.00, 42.54,Urban
Gujarat, 31-08-2019,Monthly, 4.20, 10228154.00, 43.72,Urban
Gujarat, 30-09-2019,Monthly, 5.96, 9609939.00, 41.75,Urban
Gujarat, 31-10-2019,Monthly, 5.45, 10474217.00, 45.14,Urban
Gujarat, 30-11-2019,Monthly, 7.53, 9896129.00, 43.50,Urban
Gujarat, 31-12-2019,Monthly, 5.71, 10172812.00, 43.75,Urban
Gujarat, 31-01-2020,Monthly, 5.82, 9824501.00, 42.19,Urban
Gujarat, 29-02-2020,Monthly, 6.04, 10784753.00, 46.31,Urban
Gujarat, 31-03-2020,Monthly, 5.39, 10083026.00, 42.90,Urban
Gujarat, 30-04-2020,Monthly, 25.94, 6701284.00, 36.33,Urban
Gujarat, 31-05-2020,Monthly, 11.62, 6072776.00, 27.52,Urban
Gujarat, 30-06-2020,Monthly, 4.54, 10574711.00, 44.26,Urban
Haryana, 31-05-2019,Monthly, 24.67, 2693596.00, 43.18,Urban
Haryana, 30-06-2019,Monthly, 20.42, 2845190.00, 43.06,Urban
Haryana, 31-07-2019,Monthly, 25.45, 2405973.00, 38.77,Urban
Haryana, 31-08-2019,Monthly, 24.19, 2523005.00, 39.87,Urban
Haryana, 30-09-2019,Monthly, 26.84, 2675862.00, 43.70,Urban
Haryana, 31-10-2019,Monthly, 21.04, 2821456.00, 42.58,Urban
Haryana, 30-11-2019,Monthly, 27.06, 2404239.00, 39.18,Urban
Haryana, 31-12-2019,Monthly, 23.65, 2548835.00, 39.57,Urban
Haryana, 31-01-2020,Monthly, 27.24, 2630938.00, 42.75,Urban
Haryana, 29-02-2020,Monthly, 23.29, 2752834.00, 42.32,Urban
Haryana, 31-03-2020,Monthly, 27.14, 2275407.00, 36.73,Urban
Haryana, 30-04-2020,Monthly, 46.89, 1606580.00, 35.48,Urban
Haryana, 31-05-2020,Monthly, 38.46, 2013083.00, 38.27,Urban
Haryana, 30-06-2020,Monthly, 29.41, 2304138.00, 38.09,Urban
Himachal Pradesh, 31-05-2019,Monthly, 10.88, 245668.00, 45.27,Urban
Himachal Pradesh, 30-06-2019,Monthly, 21.43, 237576.00, 49.58,Urban
Himachal Pradesh, 31-07-2019,Monthly, 21.51, 235894.00, 49.22,Urban
Himachal Pradesh, 31-08-2019,Monthly, 24.48, 236315.00, 51.17,Urban
Himachal Pradesh, 30-09-2019,Monthly, 12.00, 247210.00, 45.87,Urban
Himachal Pradesh, 31-10-2019,Monthly, 23.77, 232322.00, 49.69,Urban
Himachal Pradesh, 30-11-2019,Monthly, 27.27, 233029.00, 52.17,Urban
Himachal Pradesh, 31-12-2019,Monthly, 25.32, 241366.00, 52.55,Urban
Himachal Pradesh, 31-01-2020,Monthly, 18.15, 246596.00, 48.92,Urban
Himachal Pradesh, 29-02-2020,Monthly, 27.31, 227804.00, 50.82,Urban
Himachal Pradesh, 31-03-2020,Monthly, 26.44, 221432.00, 48.74,Urban
Himachal Pradesh, 30-04-2020,Monthly, 2.70, 146957.00, 24.42,Urban
Himachal Pradesh, 31-05-2020,Monthly, 50.00, 134868.00, 43.55,Urban
Himachal Pradesh, 30-06-2020,Monthly, 10.81, 224902.00, 40.66,Urban
Jammu & Kashmir, 31-05-2019,Monthly, 23.04, 1130139.00, 46.74,Urban
Jammu & Kashmir, 30-06-2019,Monthly, 19.88, 1139815.00, 45.17,Urban
Jammu & Kashmir, 31-07-2019,Monthly, 21.55, 1183770.00, 47.80,Urban
Jammu & Kashmir, 31-10-2019,Monthly, 24.06, 1029087.00, 42.63,Urban
Jammu & Kashmir, 30-11-2019,Monthly, 14.29, 1226793.00, 44.92,Urban
Jammu & Kashmir, 31-12-2019,Monthly, 7.02, 1209085.00, 40.71,Urban
Jammu & Kashmir, 31-01-2020,Monthly, 18.54, 1079537.00, 41.40,Urban
Jammu & Kashmir, 29-02-2020,Monthly, 19.86, 1060116.00, 41.23,Urban
Jammu & Kashmir, 31-03-2020,Monthly, 14.29, 998103.00, 36.21,Urban
Jammu & Kashmir, 31-05-2020,Monthly, 12.96, 937435.00, 33.33,Urban
Jharkhand, 31-05-2019,Monthly, 17.23, 2404033.00, 43.25,Urban
Jharkhand, 30-06-2019,Monthly, 20.51, 2326911.00, 43.51,Urban
Jharkhand, 31-07-2019,Monthly, 15.67, 2434579.00, 42.82,Urban
Jharkhand, 31-08-2019,Monthly, 20.25, 2335406.00, 43.35,Urban
Jharkhand, 30-09-2019,Monthly, 21.16, 2357627.00, 44.18,Urban
Jharkhand, 31-10-2019,Monthly, 19.05, 2460196.00, 44.82,Urban
Jharkhand, 30-11-2019,Monthly, 17.34, 2424281.00, 43.17,Urban
Jharkhand, 31-12-2019,Monthly, 22.01, 2290170.00, 43.14,Urban
Jharkhand, 31-01-2020,Monthly, 22.96, 2329293.00, 44.33,Urban
Jharkhand, 29-02-2020,Monthly, 19.67, 2493023.00, 45.42,Urban
Jharkhand, 31-03-2020,Monthly, 16.40, 2480661.00, 43.34,Urban
Jharkhand, 30-04-2020,Monthly, 61.48, 1054829.00, 39.92,Urban
Jharkhand, 31-05-2020,Monthly, 70.17, 830347.00, 40.49,Urban
Jharkhand, 30-06-2020,Monthly, 19.38, 2244460.00, 40.43,Urban
Karnataka, 31-05-2019,Monthly, 6.56, 8638239.00, 40.62,Urban
Karnataka, 30-06-2019,Monthly, 5.00, 8862498.00, 40.89,Urban
Karnataka, 31-07-2019,Monthly, 2.29, 8738029.00, 39.09,Urban
Karnataka, 31-08-2019,Monthly, 1.27, 8614340.00, 38.04,Urban
Karnataka, 30-09-2019,Monthly, 3.57, 8647794.00, 39.00,Urban
Karnataka, 31-10-2019,Monthly, 3.87, 8799249.00, 39.70,Urban
Karnataka, 30-11-2019,Monthly, 3.44, 8613835.00, 38.60,Urban
Karnataka, 31-12-2019,Monthly, 1.56, 8592376.00, 37.66,Urban
Karnataka, 31-01-2020,Monthly, 3.31, 8749154.00, 38.94,Urban
Karnataka, 29-02-2020,Monthly, 2.88, 8924061.00, 39.45,Urban
Karnataka, 31-03-2020,Monthly, 4.92, 9225835.00, 41.55,Urban
Karnataka, 30-04-2020,Monthly, 25.12, 7387995.00, 42.14,Urban
Karnataka, 31-05-2020,Monthly, 15.88, 8669258.00, 43.90,Urban
Karnataka, 30-06-2020,Monthly, 6.12, 8822411.00, 39.93,Urban
Kerala, 31-05-2019,Monthly, 6.11, 4605913.00, 36.65,Urban
Kerala, 30-06-2019,Monthly, 6.67, 4678374.00, 37.42,Urban
Kerala, 31-07-2019,Monthly, 7.58, 4105211.00, 33.13,Urban
Kerala, 31-08-2019,Monthly, 7.69, 4448650.00, 35.91,Urban
Kerala, 30-09-2019,Monthly, 5.52, 4640642.00, 36.57,Urban
Kerala, 31-10-2019,Monthly, 5.35, 4644510.00, 36.49,Urban
Kerala, 30-11-2019,Monthly, 6.71, 4062767.00, 32.36,Urban
Kerala, 31-12-2019,Monthly, 7.31, 4440283.00, 35.56,Urban
Kerala, 31-01-2020,Monthly, 6.65, 4597507.00, 36.53,Urban
Kerala, 29-02-2020,Monthly, 6.08, 4624444.00, 36.48,Urban
Kerala, 31-03-2020,Monthly, 9.14, 4079775.00, 33.24,Urban
Kerala, 30-04-2020,Monthly, 21.43, 2179106.00, 20.51,Urban
Kerala, 31-05-2020,Monthly, 30.28, 2826118.00, 29.95,Urban
Kerala, 30-06-2020,Monthly, 12.17, 4601293.00, 38.68,Urban
Madhya Pradesh, 31-05-2019,Monthly, 3.91, 6692720.00, 38.96,Urban
Madhya Pradesh, 30-06-2019,Monthly, 6.38, 6509340.00, 38.80,Urban
Madhya Pradesh, 31-07-2019,Monthly, 7.38, 6266446.00, 37.67,Urban
Madhya Pradesh, 31-08-2019,Monthly, 6.82, 6809834.00, 40.60,Urban
Madhya Pradesh, 30-09-2019,Monthly, 7.00, 6655967.00, 39.67,Urban
Madhya Pradesh, 31-10-2019,Monthly, 4.40, 6603715.00, 38.20,Urban
Madhya Pradesh, 30-11-2019,Monthly, 6.06, 6459457.00, 37.94,Urban
Madhya Pradesh, 31-12-2019,Monthly, 6.20, 6787403.00, 39.83,Urban
Madhya Pradesh, 31-01-2020,Monthly, 5.17, 6834930.00, 39.59,Urban
Madhya Pradesh, 29-02-2020,Monthly, 4.96, 6533435.00, 37.68,Urban
Madhya Pradesh, 31-03-2020,Monthly, 4.80, 6386723.00, 36.68,Urban
Madhya Pradesh, 30-04-2020,Monthly, 11.94, 4802873.00, 29.76,Urban
Madhya Pradesh, 31-05-2020,Monthly, 40.49, 3879934.00, 35.49,Urban
Madhya Pradesh, 30-06-2020,Monthly, 12.72, 6221562.00, 38.72,Urban
Maharashtra, 31-05-2019,Monthly, 6.08, 16962574.00, 38.30,Urban
Maharashtra, 30-06-2019,Monthly, 6.46, 17375053.00, 39.30,Urban
Maharashtra, 31-07-2019,Monthly, 6.35, 17215677.00, 38.81,Urban
Maharashtra, 31-08-2019,Monthly, 7.57, 16602767.00, 37.84,Urban
Maharashtra, 30-09-2019,Monthly, 7.60, 17396398.00, 39.58,Urban
Maharashtra, 31-10-2019,Monthly, 7.51, 17221991.00, 39.05,Urban
Maharashtra, 30-11-2019,Monthly, 7.60, 17486683.00, 39.61,Urban
Maharashtra, 31-12-2019,Monthly, 7.83, 16581144.00, 37.57,Urban
Maharashtra, 31-01-2020,Monthly, 6.67, 16715470.00, 37.32,Urban
Maharashtra, 29-02-2020,Monthly, 5.34, 17122782.00, 37.61,Urban
Maharashtra, 31-03-2020,Monthly, 6.34, 17065830.00, 37.80,Urban
Maharashtra, 30-04-2020,Monthly, 14.99, 12674451.00, 30.86,Urban
Maharashtra, 31-05-2020,Monthly, 15.92, 12365754.00, 30.38,Urban
Maharashtra, 30-06-2020,Monthly, 10.01, 16172690.00, 37.04,Urban
Meghalaya, 31-05-2019,Monthly, 8.40, 228978.00, 47.79,Urban
Meghalaya, 30-06-2019,Monthly, 8.66, 231252.00, 48.29,Urban
Meghalaya, 31-07-2019,Monthly, 4.43, 284015.00, 56.55,Urban
Meghalaya, 31-08-2019,Monthly, 5.80, 259433.00, 52.27,Urban
Meghalaya, 30-09-2019,Monthly, 5.30, 253887.00, 50.77,Urban
Meghalaya, 31-10-2019,Monthly, 7.20, 234375.00, 47.71,Urban
Meghalaya, 30-11-2019,Monthly, 3.02, 293431.00, 57.02,Urban
Meghalaya, 31-12-2019,Monthly, 5.21, 267417.00, 53.04,Urban
Meghalaya, 31-01-2020,Monthly, 4.76, 261687.00, 51.53,Urban
Meghalaya, 29-02-2020,Monthly, 7.37, 233965.00, 47.26,Urban
Meghalaya, 31-03-2020,Monthly, 2.80, 289735.00, 55.64,Urban
Meghalaya, 30-04-2020,Monthly, 17.39, 161939.00, 36.51,Urban
Meghalaya, 31-05-2020,Monthly, 14.58, 222916.00, 48.48,Urban
Odisha, 31-05-2019,Monthly, 2.95, 2519582.00, 41.26,Urban
Odisha, 30-06-2019,Monthly, 2.63, 2356290.00, 38.39,Urban
Odisha, 31-07-2019,Monthly, 1.78, 2542237.00, 40.99,Urban
Odisha, 31-08-2019,Monthly, 3.50, 2456983.00, 40.25,Urban
Odisha, 30-09-2019,Monthly, 3.78, 2570663.00, 42.15,Urban
Odisha, 31-10-2019,Monthly, 4.50, 2456855.00, 40.51,Urban
Odisha, 30-11-2019,Monthly, 2.23, 2594469.00, 41.71,Urban
Odisha, 31-12-2019,Monthly, 3.36, 2369048.00, 38.46,Urban
Odisha, 31-01-2020,Monthly, 2.28, 2561320.00, 41.05,Urban
Odisha, 29-02-2020,Monthly, 2.19, 2438080.00, 38.97,Urban
Odisha, 31-03-2020,Monthly, 3.96, 2457952.00, 39.93,Urban
Odisha, 30-04-2020,Monthly, 20.50, 1303244.00, 25.53,Urban
Odisha, 31-05-2020,Monthly, 10.00, 1975481.00, 34.12,Urban
Odisha, 30-06-2020,Monthly, 2.18, 2221069.00, 35.24,Urban
Puducherry, 31-05-2019,Monthly, 1.25, 283905.00, 35.71,Urban
Puducherry, 30-06-2019,Monthly, 0.00, 304369.00, 37.73,Urban
Puducherry, 31-07-2019,Monthly, 0.00, 281117.00, 34.77,Urban
Puducherry, 31-08-2019,Monthly, 8.95, 312882.00, 42.41,Urban
Puducherry, 30-09-2019,Monthly, 1.22, 286573.00, 35.73,Urban
Puducherry, 31-10-2019,Monthly, 1.17, 312548.00, 38.86,Urban
Puducherry, 30-11-2019,Monthly, 1.37, 275003.00, 34.19,Urban
Puducherry, 31-12-2019,Monthly, 5.21, 313135.00, 40.42,Urban
Puducherry, 31-01-2020,Monthly, 0.57, 281698.00, 34.59,Urban
Puducherry, 29-02-2020,Monthly, 1.78, 310342.00, 38.50,Urban
Puducherry, 31-03-2020,Monthly, 0.62, 278851.00, 34.12,Urban
Puducherry, 30-04-2020,Monthly, 76.74, 68122.00, 35.54,Urban
Puducherry, 31-05-2020,Monthly, 75.00, 64538.00, 31.25,Urban
Puducherry, 30-06-2020,Monthly, 4.55, 234926.00, 29.73,Urban
Punjab, 31-05-2019,Monthly, 13.49, 3289918.00, 40.03,Urban
Punjab, 30-06-2019,Monthly, 13.17, 3307798.00, 40.02,Urban
Punjab, 31-07-2019,Monthly, 11.61, 3592442.00, 42.62,Urban
Punjab, 31-08-2019,Monthly, 11.99, 3499863.00, 41.61,Urban
Punjab, 30-09-2019,Monthly, 15.69, 3227178.00, 39.97,Urban
Punjab, 31-10-2019,Monthly, 13.75, 3070438.00, 37.10,Urban
Punjab, 30-11-2019,Monthly, 10.39, 3602243.00, 41.82,Urban
Punjab, 31-12-2019,Monthly, 11.97, 3575778.00, 42.17,Urban
Punjab, 31-01-2020,Monthly, 13.68, 3252622.00, 39.04,Urban
Punjab, 29-02-2020,Monthly, 11.99, 3219227.00, 37.82,Urban
Punjab, 31-03-2020,Monthly, 9.97, 3601793.00, 41.29,Urban
Punjab, 30-04-2020,Monthly, 1.13, 2298975.00, 23.95,Urban
Punjab, 31-05-2020,Monthly, 20.54, 2682658.00, 34.71,Urban
Punjab, 30-06-2020,Monthly, 10.55, 3047750.00, 34.96,Urban
Rajasthan, 31-05-2019,Monthly, 13.62, 5108436.00, 39.44,Urban
Rajasthan, 30-06-2019,Monthly, 14.36, 5241174.00, 40.73,Urban
Rajasthan, 31-07-2019,Monthly, 11.67, 5372470.00, 40.38,Urban
Rajasthan, 31-08-2019,Monthly, 14.71, 5195170.00, 40.34,Urban
Rajasthan, 30-09-2019,Monthly, 12.63, 5176819.00, 39.15,Urban
Rajasthan, 31-10-2019,Monthly, 13.02, 5384335.00, 40.80,Urban
Rajasthan, 30-11-2019,Monthly, 14.30, 5306715.00, 40.73,Urban
Rajasthan, 31-12-2019,Monthly, 18.04, 5109481.00, 40.90,Urban
Rajasthan, 31-01-2020,Monthly, 18.82, 5157363.00, 41.59,Urban
Rajasthan, 29-02-2020,Monthly, 17.02, 5288343.00, 41.62,Urban
Rajasthan, 31-03-2020,Monthly, 18.54, 4964911.00, 39.71,Urban
Rajasthan, 30-04-2020,Monthly, 35.53, 2932923.00, 29.57,Urban
Rajasthan, 31-05-2020,Monthly, 25.35, 4225486.00, 36.71,Urban
Rajasthan, 30-06-2020,Monthly, 13.04, 5275784.00, 39.26,Urban
Sikkim, 31-05-2019,Monthly, 8.20, 89587.00, 48.61,Urban
Sikkim, 30-06-2019,Monthly, 7.76, 89702.00, 48.13,Urban
Sikkim, 31-07-2019,Monthly, 2.56, 108334.00, 54.67,Urban
Sikkim, 31-08-2019,Monthly, 4.82, 90850.00, 46.63,Urban
Sikkim, 30-09-2019,Monthly, 4.81, 89450.00, 45.61,Urban
Sikkim, 31-10-2019,Monthly, 9.68, 87974.00, 46.97,Urban
Sikkim, 30-11-2019,Monthly, 4.04, 107751.00, 53.80,Urban
Sikkim, 31-12-2019,Monthly, 7.37, 88035.00, 45.24,Urban
Sikkim, 31-03-2020,Monthly, 20.45, 86186.00, 50.57,Urban
Sikkim, 30-04-2020,Monthly, 5.77, 81905.00, 40.31,Urban
Sikkim, 31-05-2020,Monthly, 19.75, 75456.00, 43.32,Urban
Sikkim, 30-06-2020,Monthly, 2.63, 76269.00, 35.85,Urban
Tamil Nadu, 31-05-2019,Monthly, 0.89, 11798080.00, 37.31,Urban
Tamil Nadu, 30-06-2019,Monthly, 1.56, 12318745.00, 39.16,Urban
Tamil Nadu, 31-07-2019,Monthly, 3.18, 12054414.00, 38.89,Urban
Tamil Nadu, 31-08-2019,Monthly, 9.53, 11933093.00, 41.13,Urban
Tamil Nadu, 30-09-2019,Monthly, 1.86, 11902824.00, 37.76,Urban
Tamil Nadu, 31-10-2019,Monthly, 1.13, 12223948.00, 38.42,Urban
Tamil Nadu, 30-11-2019,Monthly, 2.65, 11729952.00, 37.38,Urban
Tamil Nadu, 31-12-2019,Monthly, 8.05, 12260389.00, 41.29,Urban
Tamil Nadu, 31-01-2020,Monthly, 2.05, 11926995.00, 37.64,Urban
Tamil Nadu, 29-02-2020,Monthly, 3.31, 11742101.00, 37.48,Urban
Tamil Nadu, 31-03-2020,Monthly, 6.46, 10982178.00, 36.17,Urban
Tamil Nadu, 30-04-2020,Monthly, 45.55, 4632967.00, 26.17,Urban
Tamil Nadu, 31-05-2020,Monthly, 25.95, 5733921.00, 23.77,Urban
Tamil Nadu, 30-06-2020,Monthly, 24.93, 7741005.00, 31.60,Urban
Telangana, 31-05-2019,Monthly, 1.52, 5560649.00, 44.59,Urban
Telangana, 30-06-2019,Monthly, 1.43, 5683349.00, 45.43,Urban
Telangana, 31-07-2019,Monthly, 3.73, 5432503.00, 44.36,Urban
Telangana, 31-08-2019,Monthly, 4.19, 5544693.00, 45.39,Urban
Telangana, 30-09-2019,Monthly, 6.19, 5668785.00, 47.28,Urban
Telangana, 31-10-2019,Monthly, 6.74, 5318341.00, 44.51,Urban
Telangana, 30-11-2019,Monthly, 5.23, 5338119.00, 43.87,Urban
Telangana, 31-12-2019,Monthly, 4.22, 5317782.00, 43.13,Urban
Telangana, 31-01-2020,Monthly, 6.49, 5543380.00, 45.95,Urban
Telangana, 29-02-2020,Monthly, 6.74, 5521496.00, 45.78,Urban
Telangana, 31-03-2020,Monthly, 6.10, 5313236.00, 43.65,Urban
Telangana, 30-04-2020,Monthly, 10.50, 3378431.00, 29.05,Urban
Telangana, 31-05-2020,Monthly, 36.57, 3108830.00, 37.63,Urban
