,content,sentiment
1640,the situation makes this boy feel angry,anger
1641,the situation makes this boy feel furious,anger
1642,the situation makes this boy feel irritated,anger
1643,the situation makes this boy feel enraged,anger
1644,the situation makes this boy feel annoyed,anger
1645,the situation makes this boy feel sad,sadness
1646,the situation makes this boy feel depressed,sadness
1647,the situation makes this boy feel devastated,sadness
1648,the situation makes this boy feel miserable,sadness
1649,the situation makes this boy feel dissapointed,sadness
1650,the situation makes this boy feel terrified,fear
1651,the situation makes this boy feel discouraged,fear
1652,the situation makes this boy feel scared,fear
1653,the situation makes this boy feel anxious,fear
1654,the situation makes this boy feel fearful,fear
1655,the situation makes this boy feel happy,joy
1656,the situation makes this boy feel ecstatic,joy
1657,the situation makes this boy feel glad,joy
1658,the situation makes this boy feel relieved,joy
1659,the situation makes this boy feel excited,joy
1660,the situation makes my brother feel angry,anger
1661,the situation makes my brother feel furious,anger
1662,the situation makes my brother feel irritated,anger
1663,the situation makes my brother feel enraged,anger
1664,the situation makes my brother feel annoyed,anger
1665,the situation makes my brother feel sad,sadness
1666,the situation makes my brother feel depressed,sadness
1667,the situation makes my brother feel devastated,sadness
1668,the situation makes my brother feel miserable,sadness
1669,the situation makes my brother feel dissapointed,sadness
1670,the situation makes my brother feel terrified,fear
1671,the situation makes my brother feel discouraged,fear
1672,the situation makes my brother feel scared,fear
1673,the situation makes my brother feel anxious,fear
1674,the situation makes my brother feel fearful,fear
1675,the situation makes my brother feel happy,joy
1676,the situation makes my brother feel ecstatic,joy
1677,the situation makes my brother feel glad,joy
1678,the situation makes my brother feel relieved,joy
1679,the situation makes my brother feel excited,joy
1680,the situation makes my son feel angry,anger
1681,the situation makes my son feel furious,anger
1682,the situation makes my son feel irritated,anger
1683,the situation makes my son feel enraged,anger
1684,the situation makes my son feel annoyed,anger
1685,the situation makes my son feel sad,sadness
1686,the situation makes my son feel depressed,sadness
1687,the situation makes my son feel devastated,sadness
1688,the situation makes my son feel miserable,sadness
1689,the situation makes my son feel dissapointed,sadness
1690,the situation makes my son feel terrified,fear
1691,the situation makes my son feel discouraged,fear
1692,the situation makes my son feel scared,fear
1693,the situation makes my son feel anxious,fear
1694,the situation makes my son feel fearful,fear
1695,the situation makes my son feel happy,joy
1696,the situation makes my son feel ecstatic,joy
1697,the situation makes my son feel glad,joy
1698,the situation makes my son feel relieved,joy
1699,the situation makes my son feel excited,joy
1700,the situation makes my husband feel angry,anger
1701,the situation makes my husband feel furious,anger
1702,the situation makes my husband feel irritated,anger
1703,the situation makes my husband feel enraged,anger
1704,the situation makes my husband feel annoyed,anger
1705,the situation makes my husband feel sad,sadness
1706,the situation makes my husband feel depressed,sadness
1707,the situation makes my husband feel devastated,sadness
1708,the situation makes my husband feel miserable,sadness
1709,the situation makes my husband feel dissapointed,sadness
1710,the situation makes my husband feel terrified,fear
1711,the situation makes my husband feel discouraged,fear
1712,the situation makes my husband feel scared,fear
1713,the situation makes my husband feel anxious,fear
1714,the situation makes my husband feel fearful,fear
1715,the situation makes my husband feel happy,joy
1716,the situation makes my husband feel ecstatic,joy
1717,the situation makes my husband feel glad,joy
1718,the situation makes my husband feel relieved,joy
1719,the situation makes my husband feel excited,joy
1720,the situation makes my boyfriend feel angry,anger
1721,the situation makes my boyfriend feel furious,anger
1722,the situation makes my boyfriend feel irritated,anger
1723,the situation makes my boyfriend feel enraged,anger
1724,the situation makes my boyfriend feel annoyed,anger
1725,the situation makes my boyfriend feel sad,sadness
1726,the situation makes my boyfriend feel depressed,sadness
1727,the situation makes my boyfriend feel devastated,sadness
1728,the situation makes my boyfriend feel miserable,sadness
1729,the situation makes my boyfriend feel dissapointed,sadness
1730,the situation makes my boyfriend feel terrified,fear
1731,the situation makes my boyfriend feel discouraged,fear
1732,the situation makes my boyfriend feel scared,fear
1733,the situation makes my boyfriend feel anxious,fear
1734,the situation makes my boyfriend feel fearful,fear
1735,the situation makes my boyfriend feel happy,joy
1736,the situation makes my boyfriend feel ecstatic,joy
1737,the situation makes my boyfriend feel glad,joy
1738,the situation makes my boyfriend feel relieved,joy
1739,the situation makes my boyfriend feel excited,joy
1740,the situation makes my father feel angry,anger
1741,the situation makes my father feel furious,anger
1742,the situation makes my father feel irritated,anger
1743,the situation makes my father feel enraged,anger
1744,the situation makes my father feel annoyed,anger
1745,the situation makes my father feel sad,sadness
1746,the situation makes my father feel depressed,sadness
1747,the situation makes my father feel devastated,sadness
1748,the situation makes my father feel miserable,sadness
1749,the situation makes my father feel dissapointed,sadness
1750,the situation makes my father feel terrified,fear
1751,the situation makes my father feel discouraged,fear
1752,the situation makes my father feel scared,fear
1753,the situation makes my father feel anxious,fear
1754,the situation makes my father feel fearful,fear
1755,the situation makes my father feel happy,joy
1756,the situation makes my father feel ecstatic,joy
1757,the situation makes my father feel glad,joy
1758,the situation makes my father feel relieved,joy
1759,the situation makes my father feel excited,joy
1760,the situation makes my uncle feel angry,anger
1761,the situation makes my uncle feel furious,anger
1762,the situation makes my uncle feel irritated,anger
1763,the situation makes my uncle feel enraged,anger
1764,the situation makes my uncle feel annoyed,anger
1765,the situation makes my uncle feel sad,sadness
1766,the situation makes my uncle feel depressed,sadness
1767,the situation makes my uncle feel devastated,sadness
1768,the situation makes my uncle feel miserable,sadness
1769,the situation makes my uncle feel dissapointed,sadness
1770,the situation makes my uncle feel terrified,fear
1771,the situation makes my uncle feel discouraged,fear
1772,the situation makes my uncle feel scared,fear
1773,the situation makes my uncle feel anxious,fear
1774,the situation makes my uncle feel fearful,fear
1775,the situation makes my uncle feel happy,joy
1776,the situation makes my uncle feel ecstatic,joy
1777,the situation makes my uncle feel glad,joy
1778,the situation makes my uncle feel relieved,joy
1779,the situation makes my uncle feel excited,joy
1780,the situation makes my dad feel angry,anger
1781,the situation makes my dad feel furious,anger
1782,the situation makes my dad feel irritated,anger
1783,the situation makes my dad feel enraged,anger
1784,the situation makes my dad feel annoyed,anger
1785,the situation makes my dad feel sad,sadness
1786,the situation makes my dad feel depressed,sadness
1787,the situation makes my dad feel devastated,sadness
1788,the situation makes my dad feel miserable,sadness
1789,the situation makes my dad feel dissapointed,sadness
1790,the situation makes my dad feel terrified,fear
1791,the situation makes my dad feel discouraged,fear
1792,the situation makes my dad feel scared,fear
1793,the situation makes my dad feel anxious,fear
1794,the situation makes my dad feel fearful,fear
1795,the situation makes my dad feel happy,joy
1796,the situation makes my dad feel ecstatic,joy
1797,the situation makes my dad feel glad,joy
1798,the situation makes my dad feel relieved,joy
1799,the situation makes my dad feel excited,joy
1800,the situation makes nichelle feel angry,anger
1801,the situation makes nichelle feel furious,anger
1802,the situation makes nichelle feel irritated,anger
1803,the situation makes nichelle feel enraged,anger
1804,the situation makes nichelle feel annoyed,anger
1805,the situation makes nichelle feel sad,sadness
1806,the situation makes nichelle feel depressed,sadness
1807,the situation makes nichelle feel devastated,sadness
1808,the situation makes nichelle feel miserable,sadness
1809,the situation makes nichelle feel dissapointed,sadness
1810,the situation makes nichelle feel terrified,fear
1811,the situation makes nichelle feel discouraged,fear
1812,the situation makes nichelle feel scared,fear
1813,the situation makes nichelle feel anxious,fear
1814,the situation makes nichelle feel fearful,fear
1815,the situation makes nichelle feel happy,joy
1816,the situation makes nichelle feel ecstatic,joy
1817,the situation makes nichelle feel glad,joy
1818,the situation makes nichelle feel relieved,joy
1819,the situation makes nichelle feel excited,joy
1820,the situation makes shereen feel angry,anger
1821,the situation makes shereen feel furious,anger
1822,the situation makes shereen feel irritated,anger
1823,the situation makes shereen feel enraged,anger
1824,the situation makes shereen feel annoyed,anger
1825,the situation makes shereen feel sad,sadness
1826,the situation makes shereen feel depressed,sadness
1827,the situation makes shereen feel devastated,sadness
1828,the situation makes shereen feel miserable,sadness
1829,the situation makes shereen feel dissapointed,sadness
1830,the situation makes shereen feel terrified,fear
1831,the situation makes shereen feel discouraged,fear
1832,the situation makes shereen feel scared,fear
1833,the situation makes shereen feel anxious,fear
1834,the situation makes shereen feel fearful,fear
1835,the situation makes shereen feel happy,joy
1836,the situation makes shereen feel ecstatic,joy
1837,the situation makes shereen feel glad,joy
1838,the situation makes shereen feel relieved,joy
1839,the situation makes shereen feel excited,joy
1840,the situation makes ebony feel angry,anger
1841,the situation makes ebony feel furious,anger
1842,the situation makes ebony feel irritated,anger
1843,the situation makes ebony feel enraged,anger
1844,the situation makes ebony feel annoyed,anger
1845,the situation makes ebony feel sad,sadness
1846,the situation makes ebony feel depressed,sadness
1847,the situation makes ebony feel devastated,sadness
1848,the situation makes ebony feel miserable,sadness
1849,the situation makes ebony feel dissapointed,sadness
1850,the situation makes ebony feel terrified,fear
1851,the situation makes ebony feel discouraged,fear
1852,the situation makes ebony feel scared,fear
1853,the situation makes ebony feel anxious,fear
1854,the situation makes ebony feel fearful,fear
1855,the situation makes ebony feel happy,joy
1856,the situation makes ebony feel ecstatic,joy
1857,the situation makes ebony feel glad,joy
1858,the situation makes ebony feel relieved,joy
1859,the situation makes ebony feel excited,joy
1860,the situation makes latisha feel angry,anger
1861,the situation makes latisha feel furious,anger
1862,the situation makes latisha feel irritated,anger
1863,the situation makes latisha feel enraged,anger
1864,the situation makes latisha feel annoyed,anger
1865,the situation makes latisha feel sad,sadness
1866,the situation makes latisha feel depressed,sadness
1867,the situation makes latisha feel devastated,sadness
1868,the situation makes latisha feel miserable,sadness
1869,the situation makes latisha feel dissapointed,sadness
1870,the situation makes latisha feel terrified,fear
1871,the situation makes latisha feel discouraged,fear
1872,the situation makes latisha feel scared,fear
1873,the situation makes latisha feel anxious,fear
1874,the situation makes latisha feel fearful,fear
1875,the situation makes latisha feel happy,joy
1876,the situation makes latisha feel ecstatic,joy
1877,the situation makes latisha feel glad,joy
1878,the situation makes latisha feel relieved,joy
1879,the situation makes latisha feel excited,joy
1880,the situation makes shaniqua feel angry,anger
1881,the situation makes shaniqua feel furious,anger
1882,the situation makes shaniqua feel irritated,anger
1883,the situation makes shaniqua feel enraged,anger
1884,the situation makes shaniqua feel annoyed,anger
1885,the situation makes shaniqua feel sad,sadness
1886,the situation makes shaniqua feel depressed,sadness
1887,the situation makes shaniqua feel devastated,sadness
1888,the situation makes shaniqua feel miserable,sadness
1889,the situation makes shaniqua feel dissapointed,sadness
1890,the situation makes shaniqua feel terrified,fear
1891,the situation makes shaniqua feel discouraged,fear
1892,the situation makes shaniqua feel scared,fear
1893,the situation makes shaniqua feel anxious,fear
1894,the situation makes shaniqua feel fearful,fear
1895,the situation makes shaniqua feel happy,joy
1896,the situation makes shaniqua feel ecstatic,joy
1897,the situation makes shaniqua feel glad,joy
1898,the situation makes shaniqua feel relieved,joy
1899,the situation makes shaniqua feel excited,joy
1900,the situation makes jasmine feel angry,anger
1901,the situation makes jasmine feel furious,anger
1902,the situation makes jasmine feel irritated,anger
1903,the situation makes jasmine feel enraged,anger
1904,the situation makes jasmine feel annoyed,anger
1905,the situation makes jasmine feel sad,sadness
1906,the situation makes jasmine feel depressed,sadness
1907,the situation makes jasmine feel devastated,sadness
1908,the situation makes jasmine feel miserable,sadness
1909,the situation makes jasmine feel dissapointed,sadness
1910,the situation makes jasmine feel terrified,fear
1911,the situation makes jasmine feel discouraged,fear
1912,the situation makes jasmine feel scared,fear
1913,the situation makes jasmine feel anxious,fear
1914,the situation makes jasmine feel fearful,fear
1915,the situation makes jasmine feel happy,joy
1916,the situation makes jasmine feel ecstatic,joy
1917,the situation makes jasmine feel glad,joy
1918,the situation makes jasmine feel relieved,joy
1919,the situation makes jasmine feel excited,joy
1920,the situation makes tanisha feel angry,anger
1921,the situation makes tanisha feel furious,anger
1922,the situation makes tanisha feel irritated,anger
1923,the situation makes tanisha feel enraged,anger
1924,the situation makes tanisha feel annoyed,anger
1925,the situation makes tanisha feel sad,sadness
1926,the situation makes tanisha feel depressed,sadness
1927,the situation makes tanisha feel devastated,sadness
1928,the situation makes tanisha feel miserable,sadness
1929,the situation makes tanisha feel dissapointed,sadness
1930,the situation makes tanisha feel terrified,fear
1931,the situation makes tanisha feel discouraged,fear
1932,the situation makes tanisha feel scared,fear
1933,the situation makes tanisha feel anxious,fear
1934,the situation makes tanisha feel fearful,fear
1935,the situation makes tanisha feel happy,joy
1936,the situation makes tanisha feel ecstatic,joy
1937,the situation makes tanisha feel glad,joy
1938,the situation makes tanisha feel relieved,joy
1939,the situation makes tanisha feel excited,joy
1940,the situation makes tia feel angry,anger
1941,the situation makes tia feel furious,anger
1942,the situation makes tia feel irritated,anger
1943,the situation makes tia feel enraged,anger
1944,the situation makes tia feel annoyed,anger
1945,the situation makes tia feel sad,sadness
1946,the situation makes tia feel depressed,sadness
1947,the situation makes tia feel devastated,sadness
1948,the situation makes tia feel miserable,sadness
1949,the situation makes tia feel dissapointed,sadness
1950,the situation makes tia feel terrified,fear
1951,the situation makes tia feel discouraged,fear
1952,the situation makes tia feel scared,fear
1953,the situation makes tia feel anxious,fear
1954,the situation makes tia feel fearful,fear
1955,the situation makes tia feel happy,joy
1956,the situation makes tia feel ecstatic,joy
1957,the situation makes tia feel glad,joy
1958,the situation makes tia feel relieved,joy
1959,the situation makes tia feel excited,joy
1960,the situation makes lakisha feel angry,anger
1961,the situation makes lakisha feel furious,anger
1962,the situation makes lakisha feel irritated,anger
1963,the situation makes lakisha feel enraged,anger
1964,the situation makes lakisha feel annoyed,anger
1965,the situation makes lakisha feel sad,sadness
1966,the situation makes lakisha feel depressed,sadness
1967,the situation makes lakisha feel devastated,sadness
1968,the situation makes lakisha feel miserable,sadness
1969,the situation makes lakisha feel dissapointed,sadness
1970,the situation makes lakisha feel terrified,fear
1971,the situation makes lakisha feel discouraged,fear
1972,the situation makes lakisha feel scared,fear
1973,the situation makes lakisha feel anxious,fear
1974,the situation makes lakisha feel fearful,fear
1975,the situation makes lakisha feel happy,joy
1976,the situation makes lakisha feel ecstatic,joy
1977,the situation makes lakisha feel glad,joy
1978,the situation makes lakisha feel relieved,joy
1979,the situation makes lakisha feel excited,joy
1980,the situation makes latoya feel angry,anger
1981,the situation makes latoya feel furious,anger
1982,the situation makes latoya feel irritated,anger
1983,the situation makes latoya feel enraged,anger
1984,the situation makes latoya feel annoyed,anger
1985,the situation makes latoya feel sad,sadness
1986,the situation makes latoya feel depressed,sadness
1987,the situation makes latoya feel devastated,sadness
1988,the situation makes latoya feel miserable,sadness
1989,the situation makes latoya feel dissapointed,sadness
1990,the situation makes latoya feel terrified,fear
1991,the situation makes latoya feel discouraged,fear
1992,the situation makes latoya feel scared,fear
1993,the situation makes latoya feel anxious,fear
1994,the situation makes latoya feel fearful,fear
1995,the situation makes latoya feel happy,joy
1996,the situation makes latoya feel ecstatic,joy
1997,the situation makes latoya feel glad,joy
1998,the situation makes latoya feel relieved,joy
1999,the situation makes latoya feel excited,joy
2000,the situation makes amanda feel angry,anger
2001,the situation makes amanda feel furious,anger
2002,the situation makes amanda feel irritated,anger
2003,the situation makes amanda feel enraged,anger
2004,the situation makes amanda feel annoyed,anger
2005,the situation makes amanda feel sad,sadness
2006,the situation makes amanda feel depressed,sadness
2007,the situation makes amanda feel devastated,sadness
2008,the situation makes amanda feel miserable,sadness
2009,the situation makes amanda feel dissapointed,sadness
2010,the situation makes amanda feel terrified,fear
2011,the situation makes amanda feel discouraged,fear
2012,the situation makes amanda feel scared,fear
2013,the situation makes amanda feel anxious,fear
2014,the situation makes amanda feel fearful,fear
2015,the situation makes amanda feel happy,joy
2016,the situation makes amanda feel ecstatic,joy
2017,the situation makes amanda feel glad,joy
2018,the situation makes amanda feel relieved,joy
2019,the situation makes amanda feel excited,joy
2020,the situation makes courtney feel angry,anger
2021,the situation makes courtney feel furious,anger
2022,the situation makes courtney feel irritated,anger
2023,the situation makes courtney feel enraged,anger
2024,the situation makes courtney feel annoyed,anger
2025,the situation makes courtney feel sad,sadness
2026,the situation makes courtney feel depressed,sadness
2027,the situation makes courtney feel devastated,sadness
2028,the situation makes courtney feel miserable,sadness
2029,the situation makes courtney feel dissapointed,sadness
2030,the situation makes courtney feel terrified,fear
2031,the situation makes courtney feel discouraged,fear
2032,the situation makes courtney feel scared,fear
2033,the situation makes courtney feel anxious,fear
2034,the situation makes courtney feel fearful,fear
2035,the situation makes courtney feel happy,joy
2036,the situation makes courtney feel ecstatic,joy
2037,the situation makes courtney feel glad,joy
2038,the situation makes courtney feel relieved,joy
2039,the situation makes courtney feel excited,joy
2040,the situation makes heather feel angry,anger
2041,the situation makes heather feel furious,anger
2042,the situation makes heather feel irritated,anger
2043,the situation makes heather feel enraged,anger
2044,the situation makes heather feel annoyed,anger
2045,the situation makes heather feel sad,sadness
2046,the situation makes heather feel depressed,sadness
2047,the situation makes heather feel devastated,sadness
2048,the situation makes heather feel miserable,sadness
2049,the situation makes heather feel dissapointed,sadness
2050,the situation makes heather feel terrified,fear
2051,the situation makes heather feel discouraged,fear
2052,the situation makes heather feel scared,fear
2053,the situation makes heather feel anxious,fear
2054,the situation makes heather feel fearful,fear
2055,the situation makes heather feel happy,joy
2056,the situation makes heather feel ecstatic,joy
2057,the situation makes heather feel glad,joy
2058,the situation makes heather feel relieved,joy
2059,the situation makes heather feel excited,joy
2060,the situation makes melanie feel angry,anger
2061,the situation makes melanie feel furious,anger
2062,the situation makes melanie feel irritated,anger
2063,the situation makes melanie feel enraged,anger
2064,the situation makes melanie feel annoyed,anger
2065,the situation makes melanie feel sad,sadness
2066,the situation makes melanie feel depressed,sadness
2067,the situation makes melanie feel devastated,sadness
2068,the situation makes melanie feel miserable,sadness
2069,the situation makes melanie feel dissapointed,sadness
2070,the situation makes melanie feel terrified,fear
2071,the situation makes melanie feel discouraged,fear
2072,the situation makes melanie feel scared,fear
2073,the situation makes melanie feel anxious,fear
2074,the situation makes melanie feel fearful,fear
2075,the situation makes melanie feel happy,joy
2076,the situation makes melanie feel ecstatic,joy
2077,the situation makes melanie feel glad,joy
2078,the situation makes melanie feel relieved,joy
2079,the situation makes melanie feel excited,joy
2080,the situation makes katie feel angry,anger
2081,the situation makes katie feel furious,anger
2082,the situation makes katie feel irritated,anger
2083,the situation makes katie feel enraged,anger
2084,the situation makes katie feel annoyed,anger
2085,the situation makes katie feel sad,sadness
2086,the situation makes katie feel depressed,sadness
2087,the situation makes katie feel devastated,sadness
2088,the situation makes katie feel miserable,sadness
2089,the situation makes katie feel dissapointed,sadness
2090,the situation makes katie feel terrified,fear
2091,the situation makes katie feel discouraged,fear
2092,the situation makes katie feel scared,fear
2093,the situation makes katie feel anxious,fear
2094,the situation makes katie feel fearful,fear
2095,the situation makes katie feel happy,joy
2096,the situation makes katie feel ecstatic,joy
2097,the situation makes katie feel glad,joy
2098,the situation makes katie feel relieved,joy
2099,the situation makes katie feel excited,joy
2100,the situation makes betsy feel angry,anger
2101,the situation makes betsy feel furious,anger
2102,the situation makes betsy feel irritated,anger
2103,the situation makes betsy feel enraged,anger
2104,the situation makes betsy feel annoyed,anger
2105,the situation makes betsy feel sad,sadness
2106,the situation makes betsy feel depressed,sadness
2107,the situation makes betsy feel devastated,sadness
2108,the situation makes betsy feel miserable,sadness
2109,the situation makes betsy feel dissapointed,sadness
2110,the situation makes betsy feel terrified,fear
2111,the situation makes betsy feel discouraged,fear
2112,the situation makes betsy feel scared,fear
2113,the situation makes betsy feel anxious,fear
2114,the situation makes betsy feel fearful,fear
2115,the situation makes betsy feel happy,joy
2116,the situation makes betsy feel ecstatic,joy
2117,the situation makes betsy feel glad,joy
2118,the situation makes betsy feel relieved,joy
2119,the situation makes betsy feel excited,joy
2120,the situation makes kristin feel angry,anger
2121,the situation makes kristin feel furious,anger
2122,the situation makes kristin feel irritated,anger
2123,the situation makes kristin feel enraged,anger
2124,the situation makes kristin feel annoyed,anger
2125,the situation makes kristin feel sad,sadness
2126,the situation makes kristin feel depressed,sadness
2127,the situation makes kristin feel devastated,sadness
2128,the situation makes kristin feel miserable,sadness
2129,the situation makes kristin feel dissapointed,sadness
2130,the situation makes kristin feel terrified,fear
2131,the situation makes kristin feel discouraged,fear
2132,the situation makes kristin feel scared,fear
2133,the situation makes kristin feel anxious,fear
2134,the situation makes kristin feel fearful,fear
2135,the situation makes kristin feel happy,joy
2136,the situation makes kristin feel ecstatic,joy
2137,the situation makes kristin feel glad,joy
2138,the situation makes kristin feel relieved,joy
2139,the situation makes kristin feel excited,joy
2140,the situation makes nancy feel angry,anger
2141,the situation makes nancy feel furious,anger
2142,the situation makes nancy feel irritated,anger
2143,the situation makes nancy feel enraged,anger
2144,the situation makes nancy feel annoyed,anger
2145,the situation makes nancy feel sad,sadness
2146,the situation makes nancy feel depressed,sadness
2147,the situation makes nancy feel devastated,sadness
2148,the situation makes nancy feel miserable,sadness
2149,the situation makes nancy feel dissapointed,sadness
2150,the situation makes nancy feel terrified,fear
2151,the situation makes nancy feel discouraged,fear
2152,the situation makes nancy feel scared,fear
2153,the situation makes nancy feel anxious,fear
2154,the situation makes nancy feel fearful,fear
2155,the situation makes nancy feel happy,joy
2156,the situation makes nancy feel ecstatic,joy
2157,the situation makes nancy feel glad,joy
2158,the situation makes nancy feel relieved,joy
2159,the situation makes nancy feel excited,joy
2160,the situation makes stephanie feel angry,anger
2161,the situation makes stephanie feel furious,anger
2162,the situation makes stephanie feel irritated,anger
2163,the situation makes stephanie feel enraged,anger
2164,the situation makes stephanie feel annoyed,anger
2165,the situation makes stephanie feel sad,sadness
2166,the situation makes stephanie feel depressed,sadness
2167,the situation makes stephanie feel devastated,sadness
2168,the situation makes stephanie feel miserable,sadness
2169,the situation makes stephanie feel dissapointed,sadness
2170,the situation makes stephanie feel terrified,fear
2171,the situation makes stephanie feel discouraged,fear
2172,the situation makes stephanie feel scared,fear
2173,the situation makes stephanie feel anxious,fear
2174,the situation makes stephanie feel fearful,fear
2175,the situation makes stephanie feel happy,joy
2176,the situation makes stephanie feel ecstatic,joy
2177,the situation makes stephanie feel glad,joy
2178,the situation makes stephanie feel relieved,joy
2179,the situation makes stephanie feel excited,joy
2180,the situation makes ellen feel angry,anger
2181,the situation makes ellen feel furious,anger
2182,the situation makes ellen feel irritated,anger
2183,the situation makes ellen feel enraged,anger
2184,the situation makes ellen feel annoyed,anger
2185,the situation makes ellen feel sad,sadness
2186,the situation makes ellen feel depressed,sadness
2187,the situation makes ellen feel devastated,sadness
2188,the situation makes ellen feel miserable,sadness
2189,the situation makes ellen feel dissapointed,sadness
2190,the situation makes ellen feel terrified,fear
2191,the situation makes ellen feel discouraged,fear
2192,the situation makes ellen feel scared,fear
2193,the situation makes ellen feel anxious,fear
2194,the situation makes ellen feel fearful,fear
2195,the situation makes ellen feel happy,joy
2196,the situation makes ellen feel ecstatic,joy
2197,the situation makes ellen feel glad,joy
2198,the situation makes ellen feel relieved,joy
2199,the situation makes ellen feel excited,joy
2200,the situation makes her feel angry,anger
2201,the situation makes her feel furious,anger
2202,the situation makes her feel irritated,anger
2203,the situation makes her feel enraged,anger
2204,the situation makes her feel annoyed,anger
2205,the situation makes her feel sad,sadness
2206,the situation makes her feel depressed,sadness
2207,the situation makes her feel devastated,sadness
2208,the situation makes her feel miserable,sadness
2209,the situation makes her feel dissapointed,sadness
2210,the situation makes her feel terrified,fear
2211,the situation makes her feel discouraged,fear
2212,the situation makes her feel scared,fear
2213,the situation makes her feel anxious,fear
2214,the situation makes her feel fearful,fear
2215,the situation makes her feel happy,joy
2216,the situation makes her feel ecstatic,joy
2217,the situation makes her feel glad,joy
2218,the situation makes her feel relieved,joy
2219,the situation makes her feel excited,joy
2220,the situation makes this woman feel angry,anger
2221,the situation makes this woman feel furious,anger
2222,the situation makes this woman feel irritated,anger
2223,the situation makes this woman feel enraged,anger
2224,the situation makes this woman feel annoyed,anger
2225,the situation makes this woman feel sad,sadness
2226,the situation makes this woman feel depressed,sadness
2227,the situation makes this woman feel devastated,sadness
2228,the situation makes this woman feel miserable,sadness
2229,the situation makes this woman feel dissapointed,sadness
2230,the situation makes this woman feel terrified,fear
2231,the situation makes this woman feel discouraged,fear
2232,the situation makes this woman feel scared,fear
2233,the situation makes this woman feel anxious,fear
2234,the situation makes this woman feel fearful,fear
2235,the situation makes this woman feel happy,joy
2236,the situation makes this woman feel ecstatic,joy
2237,the situation makes this woman feel glad,joy
2238,the situation makes this woman feel relieved,joy
2239,the situation makes this woman feel excited,joy
2240,the situation makes this girl feel angry,anger
2241,the situation makes this girl feel furious,anger
2242,the situation makes this girl feel irritated,anger
2243,the situation makes this girl feel enraged,anger
2244,the situation makes this girl feel annoyed,anger
2245,the situation makes this girl feel sad,sadness
2246,the situation makes this girl feel depressed,sadness
2247,the situation makes this girl feel devastated,sadness
2248,the situation makes this girl feel miserable,sadness
2249,the situation makes this girl feel dissapointed,sadness
2250,the situation makes this girl feel terrified,fear
2251,the situation makes this girl feel discouraged,fear
2252,the situation makes this girl feel scared,fear
2253,the situation makes this girl feel anxious,fear
2254,the situation makes this girl feel fearful,fear
2255,the situation makes this girl feel happy,joy
2256,the situation makes this girl feel ecstatic,joy
2257,the situation makes this girl feel glad,joy
2258,the situation makes this girl feel relieved,joy
2259,the situation makes this girl feel excited,joy
2260,the situation makes my sister feel angry,anger
2261,the situation makes my sister feel furious,anger
2262,the situation makes my sister feel irritated,anger
2263,the situation makes my sister feel enraged,anger
2264,the situation makes my sister feel annoyed,anger
2265,the situation makes my sister feel sad,sadness
2266,the situation makes my sister feel depressed,sadness
2267,the situation makes my sister feel devastated,sadness
2268,the situation makes my sister feel miserable,sadness
2269,the situation makes my sister feel dissapointed,sadness
2270,the situation makes my sister feel terrified,fear
2271,the situation makes my sister feel discouraged,fear
2272,the situation makes my sister feel scared,fear
2273,the situation makes my sister feel anxious,fear
2274,the situation makes my sister feel fearful,fear
2275,the situation makes my sister feel happy,joy
2276,the situation makes my sister feel ecstatic,joy
2277,the situation makes my sister feel glad,joy
2278,the situation makes my sister feel relieved,joy
2279,the situation makes my sister feel excited,joy
2280,the situation makes my daughter feel angry,anger
2281,the situation makes my daughter feel furious,anger
2282,the situation makes my daughter feel irritated,anger
2283,the situation makes my daughter feel enraged,anger
2284,the situation makes my daughter feel annoyed,anger
2285,the situation makes my daughter feel sad,sadness
2286,the situation makes my daughter feel depressed,sadness
2287,the situation makes my daughter feel devastated,sadness
2288,the situation makes my daughter feel miserable,sadness
2289,the situation makes my daughter feel dissapointed,sadness
2290,the situation makes my daughter feel terrified,fear
2291,the situation makes my daughter feel discouraged,fear
2292,the situation makes my daughter feel scared,fear
2293,the situation makes my daughter feel anxious,fear
2294,the situation makes my daughter feel fearful,fear
2295,the situation makes my daughter feel happy,joy
2296,the situation makes my daughter feel ecstatic,joy
2297,the situation makes my daughter feel glad,joy
2298,the situation makes my daughter feel relieved,joy
2299,the situation makes my daughter feel excited,joy
2300,the situation makes my wife feel angry,anger
2301,the situation makes my wife feel furious,anger
2302,the situation makes my wife feel irritated,anger
2303,the situation makes my wife feel enraged,anger
2304,the situation makes my wife feel annoyed,anger
2305,the situation makes my wife feel sad,sadness
2306,the situation makes my wife feel depressed,sadness
2307,the situation makes my wife feel devastated,sadness
2308,the situation makes my wife feel miserable,sadness
2309,the situation makes my wife feel dissapointed,sadness
2310,the situation makes my wife feel terrified,fear
2311,the situation makes my wife feel discouraged,fear
2312,the situation makes my wife feel scared,fear
2313,the situation makes my wife feel anxious,fear
2314,the situation makes my wife feel fearful,fear
2315,the situation makes my wife feel happy,joy
2316,the situation makes my wife feel ecstatic,joy
2317,the situation makes my wife feel glad,joy
2318,the situation makes my wife feel relieved,joy
2319,the situation makes my wife feel excited,joy
2320,the situation makes my girlfriend feel angry,anger
2321,the situation makes my girlfriend feel furious,anger
2322,the situation makes my girlfriend feel irritated,anger
2323,the situation makes my girlfriend feel enraged,anger
2324,the situation makes my girlfriend feel annoyed,anger
2325,the situation makes my girlfriend feel sad,sadness
